datum	teplota
2013-07-26 04:00:00	18.5
2013-07-26 05:00:00	18.1
2013-07-26 06:00:00	17.5
2013-07-26 07:00:00	17.8
2013-07-26 08:00:00	19.2
2013-07-26 09:00:00	21.2
2013-07-26 10:00:00	23.2
2013-07-26 11:00:00	25.0
2013-07-26 12:00:00	26.2
2013-07-26 13:00:00	27.5
2013-07-26 14:00:00	28.9
2013-07-26 15:00:00	30.2
2013-07-26 16:00:00	31.1
2013-07-26 17:00:00	32.0
2013-07-26 18:00:00	31.1
2013-07-26 19:00:00	NA
2013-07-26 20:00:00	NA
2013-07-26 21:00:00	NA
2013-07-26 22:00:00	NA
2013-07-26 23:00:00	NA
2013-07-27 00:00:00	NA
2013-07-27 01:00:00	NA
2013-07-27 02:00:00	NA
2013-07-27 03:00:00	NA
2013-07-27 04:00:00	NA
2013-07-27 05:00:00	NA
2013-07-27 06:00:00	NA
2013-07-27 07:00:00	NA
2013-07-27 08:00:00	NA
2013-07-27 09:00:00	NA
2013-07-27 10:00:00	NA
2013-07-27 11:00:00	NA
2013-07-27 12:00:00	NA
2013-07-27 13:00:00	NA
2013-07-27 14:00:00	NA
2013-07-27 15:00:00	NA
2013-07-27 16:00:00	NA
2013-07-27 17:00:00	NA
2013-07-27 18:00:00	NA
2013-07-27 19:00:00	NA
2013-07-27 20:00:00	NA
2013-07-27 21:00:00	NA
2013-07-27 22:00:00	NA
2013-07-27 23:00:00	NA
2013-07-28 00:00:00	NA
2013-07-28 01:00:00	NA
2013-07-28 02:00:00	NA
2013-07-28 03:00:00	NA
2013-07-28 04:00:00	NA
2013-07-28 05:00:00	NA
2013-07-28 06:00:00	NA
2013-07-28 07:00:00	NA
2013-07-28 08:00:00	NA
2013-07-28 09:00:00	NA
2013-07-28 10:00:00	NA
2013-07-28 11:00:00	NA
2013-07-28 12:00:00	NA
2013-07-28 13:00:00	NA
2013-07-28 14:00:00	NA
2013-07-28 15:00:00	NA
2013-07-28 16:00:00	NA
2013-07-28 17:00:00	NA
2013-07-28 18:00:00	NA
2013-07-28 19:00:00	NA
2013-07-28 20:00:00	NA
2013-07-28 21:00:00	NA
2013-07-28 22:00:00	NA
2013-07-28 23:00:00	NA
2013-07-29 00:00:00	NA
2013-07-29 01:00:00	NA
2013-07-29 02:00:00	NA
2013-07-29 03:00:00	NA
2013-07-29 04:00:00	24.4
2013-07-29 05:00:00	24.1
2013-07-29 06:00:00	23.9
2013-07-29 07:00:00	24.4
2013-07-29 08:00:00	25.8
2013-07-29 09:00:00	27.6
2013-07-29 10:00:00	29.1
2013-07-29 11:00:00	30.3
2013-07-29 12:00:00	31.6
2013-07-29 13:00:00	32.5
2013-07-29 14:00:00	33.7
2013-07-29 15:00:00	34.4
2013-07-29 16:00:00	35.4
2013-07-29 17:00:00	36.1
2013-07-29 18:00:00	35.9
2013-07-29 19:00:00	34.9
2013-07-29 20:00:00	34.1
2013-07-29 21:00:00	32.2
2013-07-29 22:00:00	31.0
2013-07-29 23:00:00	30.3
2013-07-30 00:00:00	28.3
2013-07-30 01:00:00	26.6
2013-07-30 02:00:00	25.2
2013-07-30 03:00:00	NA
2013-07-30 04:00:00	23.5
2013-07-30 05:00:00	22.7
2013-07-30 06:00:00	22.4
2013-07-30 07:00:00	22.1
2013-07-30 08:00:00	21.8
2013-07-30 09:00:00	21.2
2013-07-30 10:00:00	21.0
2013-07-30 11:00:00	20.3
2013-07-30 12:00:00	20.3
2013-07-30 13:00:00	21.6
2013-07-30 14:00:00	22.9
2013-07-30 15:00:00	24.2
2013-07-30 16:00:00	25.5
2013-07-30 17:00:00	26.0
2013-07-30 18:00:00	25.8
2013-07-30 19:00:00	25.7
2013-07-30 20:00:00	25.5
2013-07-30 21:00:00	23.9
2013-07-30 22:00:00	22.6
2013-07-30 23:00:00	21.9
2013-07-31 00:00:00	21.3
2013-07-31 01:00:00	20.4
2013-07-31 02:00:00	19.7
2013-07-31 03:00:00	NA
2013-07-31 04:00:00	18.4
2013-07-31 05:00:00	17.8
2013-07-31 06:00:00	17.4
2013-07-31 07:00:00	17.9
2013-07-31 08:00:00	18.6
2013-07-31 09:00:00	20.2
2013-07-31 10:00:00	21.6
2013-07-31 11:00:00	23.0
2013-07-31 12:00:00	24.5
2013-07-31 13:00:00	25.7
2013-07-31 14:00:00	26.9
2013-07-31 15:00:00	28.0
2013-07-31 16:00:00	26.4
2013-07-31 17:00:00	26.8
2013-07-31 18:00:00	26.4
2013-07-31 19:00:00	26.2
2013-07-31 20:00:00	25.8
2013-07-31 21:00:00	24.7
2013-07-31 22:00:00	24.0
2013-07-31 23:00:00	23.5
2013-08-01 00:00:00	22.5
